conflict_phase,total_fare_usd
Ukraine War Shock,194.44
Ukraine War Shock,182.64
Ukraine War Shock,210.09
Stabilisation,164.53
Stabilisation,150.9
Stabilisation,142.71
Stabilisation,158.88
Stabilisation,167.95
Stabilisation,139.55
Stabilisation,157.15
Stabilisation,150.08
Stabilisation,140.42
Gaza-Israel Conflict,150.36
Gaza-Israel Conflict,157.08
Gaza-Israel Conflict,132.58
Gaza-Israel Conflict,139.15
Gaza-Israel Conflict,134.43
Gaza-Israel Conflict,157.5
Gaza-Israel Conflict,153.82
Gaza-Israel Conflict,134.06
Gaza-Israel Conflict,140.36
Gaza-Israel Conflict,149.39
Gaza-Israel Conflict,175.07
Gaza-Israel Conflict,148.73
Gaza-Israel Conflict,172.62
Gaza-Israel Conflict,180.48
Pre-Iran Escalation,149.6
Pre-Iran Escalation,172.22
Pre-Iran Escalation,170.97
Pre-Iran Escalation,178.11
Pre-Iran Escalation,160.17
Pre-Iran Escalation,176.77
Pre-Iran Escalation,140.91
Pre-Iran Escalation,156.55
Pre-Iran Escalation,162.63
Pre-Iran Escalation,173.93
Pre-Iran Escalation,158.23
Pre-Iran Escalation,148.09
US-Iran War Conflict,369.41
US-Iran War Conflict,290.71
US-Iran War Conflict,339.5
US-Iran War Conflict,386.33
Pre-Pandemic Baseline,2971.47
Pre-Pandemic Baseline,3528.9
Pre-Pandemic Baseline,3509.97
Pre-Pandemic Baseline,3015.9
Pre-Pandemic Baseline,3456.14
Pre-Pandemic Baseline,3571.48
Pre-Pandemic Baseline,2938.05
Pre-Pandemic Baseline,3140.7
Pre-Pandemic Baseline,3477.94
Pre-Pandemic Baseline,3236.49
Pre-Pandemic Baseline,3083.99
Pre-Pandemic Baseline,3268.08
Pre-Pandemic Baseline,3188.93
Pre-Pandemic Baseline,3126.63
COVID-19 Collapse,1012.83
COVID-19 Collapse,986.28
COVID-19 Collapse,829.15
COVID-19 Collapse,1456.08
COVID-19 Collapse,1598.28
COVID-19 Collapse,855.25
COVID-19 Collapse,1035.01
COVID-19 Collapse,1478.89
COVID-19 Collapse,1374.85
COVID-19 Collapse,1602.89
COVID-19 Collapse,1303.53
COVID-19 Collapse,1243.84
COVID-19 Collapse,1540.51
COVID-19 Collapse,1141.26
COVID-19 Collapse,1021.25
Recovery & Surge,3969.02
Recovery & Surge,3788.11
Recovery & Surge,4162.79
Recovery & Surge,4007.92
Recovery & Surge,4334.06
Recovery & Surge,4526.76
Recovery & Surge,4083.84
Recovery & Surge,4015.68
Recovery & Surge,3869.28
Ukraine War Shock,5351.0
Ukraine War Shock,4697.22
Ukraine War Shock,4522.17
Ukraine War Shock,4577.27
Ukraine War Shock,4217.59
Ukraine War Shock,4566.59
Ukraine War Shock,4191.94
Ukraine War Shock,4762.16
Ukraine War Shock,4785.99
Ukraine War Shock,4742.53
Stabilisation,3504.28
Stabilisation,3384.46
Stabilisation,3628.1
Stabilisation,3891.93
Stabilisation,3933.87
Stabilisation,3418.41
Stabilisation,3369.13
Stabilisation,3841.68
Stabilisation,3120.22
Gaza-Israel Conflict,3167.54
Gaza-Israel Conflict,3020.23
Gaza-Israel Conflict,3399.84
Gaza-Israel Conflict,3597.11
Gaza-Israel Conflict,3396.93
Gaza-Israel Conflict,3891.7
Gaza-Israel Conflict,3746.67
Gaza-Israel Conflict,3661.46
Gaza-Israel Conflict,3700.45
Gaza-Israel Conflict,3344.37
Gaza-Israel Conflict,3739.28
Gaza-Israel Conflict,3201.86
Gaza-Israel Conflict,3469.12
Gaza-Israel Conflict,3703.19
Pre-Iran Escalation,3677.19
Pre-Iran Escalation,3568.64
Pre-Iran Escalation,3482.25
Pre-Iran Escalation,3823.65
Pre-Iran Escalation,3572.46
Pre-Iran Escalation,4125.58
Pre-Iran Escalation,3367.25
Pre-Iran Escalation,3205.57
Pre-Iran Escalation,3401.0
Pre-Iran Escalation,4043.38
Pre-Iran Escalation,3748.09
Pre-Iran Escalation,3447.99
US-Iran War Conflict,7293.71
US-Iran War Conflict,7861.23
US-Iran War Conflict,9900.85
US-Iran War Conflict,9510.59
Pre-Pandemic Baseline,1332.59
Pre-Pandemic Baseline,1394.41
Pre-Pandemic Baseline,1206.66
Pre-Pandemic Baseline,1077.18
Pre-Pandemic Baseline,1348.74
Pre-Pandemic Baseline,1161.26
Pre-Pandemic Baseline,1145.58
Pre-Pandemic Baseline,1125.9
Pre-Pandemic Baseline,1321.8
Pre-Pandemic Baseline,1247.16
Pre-Pandemic Baseline,1205.38
Pre-Pandemic Baseline,1083.34
Pre-Pandemic Baseline,1162.3
Pre-Pandemic Baseline,1208.47
COVID-19 Collapse,490.78
COVID-19 Collapse,518.98
COVID-19 Collapse,490.7
COVID-19 Collapse,508.23
COVID-19 Collapse,557.76
COVID-19 Collapse,597.4
COVID-19 Collapse,374.48
COVID-19 Collapse,587.35
COVID-19 Collapse,603.75
COVID-19 Collapse,421.91
COVID-19 Collapse,480.59
COVID-19 Collapse,754.31
COVID-19 Collapse,483.33
COVID-19 Collapse,613.01
COVID-19 Collapse,605.18
Recovery & Surge,1477.95
Recovery & Surge,1558.96
Recovery & Surge,1641.5
Recovery & Surge,1387.72
Recovery & Surge,1779.15
Recovery & Surge,1933.49
Recovery & Surge,1785.26
Recovery & Surge,1476.45
Recovery & Surge,1389.6
Ukraine War Shock,2127.73
Ukraine War Shock,1858.84
Ukraine War Shock,1848.31
Ukraine War Shock,1871.79
Ukraine War Shock,1936.64
Ukraine War Shock,1887.23
Ukraine War Shock,1650.55
Ukraine War Shock,1736.39
Ukraine War Shock,1954.43
Ukraine War Shock,1762.66
Stabilisation,1221.43
Stabilisation,1293.99
Stabilisation,1435.36
Stabilisation,1423.88
Stabilisation,1362.23
Stabilisation,1444.52
Stabilisation,1319.04
Stabilisation,1363.63
Stabilisation,1361.16
Gaza-Israel Conflict,1402.64
Gaza-Israel Conflict,1281.96
Gaza-Israel Conflict,1235.78
Gaza-Israel Conflict,1359.8
Gaza-Israel Conflict,1455.14
Gaza-Israel Conflict,1287.25
Gaza-Israel Conflict,1465.14
Gaza-Israel Conflict,1218.93
Gaza-Israel Conflict,1301.55
Gaza-Israel Conflict,1213.66
Gaza-Israel Conflict,1487.41
Gaza-Israel Conflict,1504.14
Gaza-Israel Conflict,1542.29
Gaza-Israel Conflict,1376.09
Pre-Iran Escalation,1181.66
Pre-Iran Escalation,1291.23
Pre-Iran Escalation,1614.05
Pre-Iran Escalation,1367.85
Pre-Iran Escalation,1447.79
Pre-Iran Escalation,1476.31
Pre-Iran Escalation,1223.28
Pre-Iran Escalation,1405.64
Pre-Iran Escalation,1387.58
Pre-Iran Escalation,1588.18
Pre-Iran Escalation,1350.26
Pre-Iran Escalation,1495.39
US-Iran War Conflict,3318.25
US-Iran War Conflict,2840.17
US-Iran War Conflict,3106.11
US-Iran War Conflict,3238.87
Pre-Pandemic Baseline,433.15
Pre-Pandemic Baseline,513.74
Pre-Pandemic Baseline,479.59
Pre-Pandemic Baseline,443.45
Pre-Pandemic Baseline,464.39
Pre-Pandemic Baseline,398.04
Pre-Pandemic Baseline,430.38
Pre-Pandemic Baseline,474.17
Pre-Pandemic Baseline,467.14
Pre-Pandemic Baseline,472.78
Pre-Pandemic Baseline,387.91
Pre-Pandemic Baseline,414.05
Pre-Pandemic Baseline,444.85
Pre-Pandemic Baseline,389.72
COVID-19 Collapse,191.61
COVID-19 Collapse,165.82
COVID-19 Collapse,116.15
COVID-19 Collapse,224.32
COVID-19 Collapse,119.78
COVID-19 Collapse,199.63
COVID-19 Collapse,224.76
COVID-19 Collapse,165.3
COVID-19 Collapse,165.09
COVID-19 Collapse,153.46
COVID-19 Collapse,285.07
COVID-19 Collapse,282.14
COVID-19 Collapse,153.98
COVID-19 Collapse,145.18
COVID-19 Collapse,170.7
Recovery & Surge,539.97
Recovery & Surge,637.37
Recovery & Surge,631.44
Recovery & Surge,525.35
Recovery & Surge,642.95
Recovery & Surge,618.42
Recovery & Surge,532.35
Recovery & Surge,568.12
Recovery & Surge,571.68
Ukraine War Shock,711.81
Ukraine War Shock,700.29
Ukraine War Shock,674.75
Ukraine War Shock,746.14
Ukraine War Shock,623.36
Ukraine War Shock,677.26
Ukraine War Shock,626.77
Ukraine War Shock,715.45
Ukraine War Shock,667.25
Ukraine War Shock,675.45
Stabilisation,507.54
Stabilisation,496.82
Stabilisation,541.23
Stabilisation,533.24
Stabilisation,502.56
Stabilisation,526.99
Stabilisation,458.8
Stabilisation,496.11
Stabilisation,499.3
Gaza-Israel Conflict,482.21
Gaza-Israel Conflict,472.58
Gaza-Israel Conflict,504.5
Gaza-Israel Conflict,467.33
Gaza-Israel Conflict,465.97
Gaza-Israel Conflict,487.97
Gaza-Israel Conflict,440.11
Gaza-Israel Conflict,478.85
Gaza-Israel Conflict,470.76
Gaza-Israel Conflict,472.47
Gaza-Israel Conflict,533.2
Gaza-Israel Conflict,539.43
Gaza-Israel Conflict,606.5
Gaza-Israel Conflict,481.67
Pre-Iran Escalation,561.02
Pre-Iran Escalation,511.65
Pre-Iran Escalation,579.86
Pre-Iran Escalation,601.87
Pre-Iran Escalation,581.98
Pre-Iran Escalation,612.33
Pre-Iran Escalation,515.66
Pre-Iran Escalation,553.95
Pre-Iran Escalation,544.96
Pre-Iran Escalation,485.86
Pre-Iran Escalation,475.46
Pre-Iran Escalation,468.82
US-Iran War Conflict,1205.74
US-Iran War Conflict,1276.28
US-Iran War Conflict,1193.36
US-Iran War Conflict,1183.5
Pre-Pandemic Baseline,60.63
Pre-Pandemic Baseline,56.92
Pre-Pandemic Baseline,56.83
Pre-Pandemic Baseline,50.48
Pre-Pandemic Baseline,60.54
Pre-Pandemic Baseline,57.01
Pre-Pandemic Baseline,61.2
Pre-Pandemic Baseline,53.71
Pre-Pandemic Baseline,56.09
Pre-Pandemic Baseline,62.78
Pre-Pandemic Baseline,62.6
Pre-Pandemic Baseline,63.69
Pre-Pandemic Baseline,62.1
Pre-Pandemic Baseline,57.54
COVID-19 Collapse,22.34
COVID-19 Collapse,24.91
COVID-19 Collapse,24.02
COVID-19 Collapse,26.99
COVID-19 Collapse,16.28
COVID-19 Collapse,24.47
COVID-19 Collapse,21.1
COVID-19 Collapse,15.85
COVID-19 Collapse,16.26
COVID-19 Collapse,16.88
COVID-19 Collapse,32.62
COVID-19 Collapse,18.54
COVID-19 Collapse,31.75
COVID-19 Collapse,32.54
COVID-19 Collapse,19.41
Recovery & Surge,75.31
Recovery & Surge,77.3
Recovery & Surge,77.11
Recovery & Surge,78.69
Recovery & Surge,79.39
Recovery & Surge,86.96
Recovery & Surge,83.97
Recovery & Surge,71.71
Recovery & Surge,64.78
Ukraine War Shock,93.21
Ukraine War Shock,94.15
Ukraine War Shock,81.89
Ukraine War Shock,92.44
Ukraine War Shock,76.45
Ukraine War Shock,90.52
Ukraine War Shock,89.94
Ukraine War Shock,85.8
Ukraine War Shock,84.64
Ukraine War Shock,81.39
Stabilisation,73.15
Stabilisation,61.32
Stabilisation,60.78
Stabilisation,75.04
Stabilisation,63.99
Stabilisation,59.4
Stabilisation,63.15
Stabilisation,62.53
Stabilisation,63.26
Gaza-Israel Conflict,67.95
Gaza-Israel Conflict,56.09
Gaza-Israel Conflict,67.12
Gaza-Israel Conflict,64.81
Gaza-Israel Conflict,64.72
Gaza-Israel Conflict,69.32
Gaza-Israel Conflict,55.45
Gaza-Israel Conflict,67.94
Gaza-Israel Conflict,64.1
Gaza-Israel Conflict,64.88
Gaza-Israel Conflict,71.05
Gaza-Israel Conflict,56.41
Gaza-Israel Conflict,69.6
Gaza-Israel Conflict,73.03
Pre-Iran Escalation,64.07
Pre-Iran Escalation,65.69
Pre-Iran Escalation,78.76
Pre-Iran Escalation,64.4
Pre-Iran Escalation,66.4
Pre-Iran Escalation,61.2
Pre-Iran Escalation,63.63
Pre-Iran Escalation,71.64
Pre-Iran Escalation,57.89
Pre-Iran Escalation,63.65
Pre-Iran Escalation,60.71
Pre-Iran Escalation,73.38
US-Iran War Conflict,119.14
US-Iran War Conflict,149.25
US-Iran War Conflict,203.22
US-Iran War Conflict,128.38
Pre-Pandemic Baseline,136.27
Pre-Pandemic Baseline,152.13
Pre-Pandemic Baseline,138.54
Pre-Pandemic Baseline,149.95
Pre-Pandemic Baseline,138.85
Pre-Pandemic Baseline,127.61
Pre-Pandemic Baseline,139.43
Pre-Pandemic Baseline,142.9
Pre-Pandemic Baseline,148.55
Pre-Pandemic Baseline,134.8
Pre-Pandemic Baseline,124.39
Pre-Pandemic Baseline,148.44
Pre-Pandemic Baseline,142.01
Pre-Pandemic Baseline,133.66
COVID-19 Collapse,35.22
COVID-19 Collapse,46.17
COVID-19 Collapse,50.82
COVID-19 Collapse,63.75
COVID-19 Collapse,47.27
COVID-19 Collapse,45.8
COVID-19 Collapse,53.1
COVID-19 Collapse,35.38
COVID-19 Collapse,55.44
COVID-19 Collapse,48.03
COVID-19 Collapse,75.45
COVID-19 Collapse,82.2
COVID-19 Collapse,45.87
COVID-19 Collapse,75.99
COVID-19 Collapse,61.5
Recovery & Surge,179.48
Recovery & Surge,184.39
Recovery & Surge,173.38
Recovery & Surge,152.31
Recovery & Surge,189.64
Recovery & Surge,170.81
Recovery & Surge,202.38
Recovery & Surge,161.95
Recovery & Surge,165.83
Ukraine War Shock,221.76
Ukraine War Shock,237.28
Ukraine War Shock,211.32
Ukraine War Shock,212.37
Ukraine War Shock,177.21
Ukraine War Shock,202.05
Ukraine War Shock,203.62
Ukraine War Shock,216.11
Ukraine War Shock,202.74
Ukraine War Shock,189.2
Stabilisation,149.32
Stabilisation,156.0
Stabilisation,151.6
Stabilisation,176.04
Stabilisation,160.2
Stabilisation,174.12
Stabilisation,145.8
Stabilisation,151.67
Stabilisation,147.15
Gaza-Israel Conflict,148.77
Gaza-Israel Conflict,147.33
Gaza-Israel Conflict,147.8
Gaza-Israel Conflict,145.04
Gaza-Israel Conflict,162.12
Gaza-Israel Conflict,174.03
Gaza-Israel Conflict,141.45
Gaza-Israel Conflict,149.46
Gaza-Israel Conflict,163.33
Gaza-Israel Conflict,143.01
Gaza-Israel Conflict,168.92
Gaza-Israel Conflict,159.42
Gaza-Israel Conflict,148.59
Gaza-Israel Conflict,156.12
Pre-Iran Escalation,136.29
Pre-Iran Escalation,149.65
Pre-Iran Escalation,158.91
Pre-Iran Escalation,149.26
Pre-Iran Escalation,178.78
Pre-Iran Escalation,154.99
Pre-Iran Escalation,141.2
Pre-Iran Escalation,173.75
Pre-Iran Escalation,152.85
Pre-Iran Escalation,167.59
Pre-Iran Escalation,152.56
Pre-Iran Escalation,158.6
US-Iran War Conflict,335.59
US-Iran War Conflict,311.13
US-Iran War Conflict,341.39
US-Iran War Conflict,383.41
Pre-Pandemic Baseline,3757.13
Pre-Pandemic Baseline,3505.99
Pre-Pandemic Baseline,3605.23
Pre-Pandemic Baseline,3425.67
Pre-Pandemic Baseline,3584.57
Pre-Pandemic Baseline,3814.95
Pre-Pandemic Baseline,3211.08
Pre-Pandemic Baseline,3453.15
Pre-Pandemic Baseline,3497.79
Pre-Pandemic Baseline,3428.1
Pre-Pandemic Baseline,3362.28
Pre-Pandemic Baseline,3880.22
Pre-Pandemic Baseline,3586.77
Pre-Pandemic Baseline,3747.68
COVID-19 Collapse,803.99
COVID-19 Collapse,1391.05
COVID-19 Collapse,1283.82
COVID-19 Collapse,1655.09
COVID-19 Collapse,959.1
COVID-19 Collapse,1260.06
COVID-19 Collapse,1687.97
COVID-19 Collapse,1381.12
COVID-19 Collapse,1242.7
COVID-19 Collapse,1110.76
COVID-19 Collapse,1176.06
COVID-19 Collapse,1162.89
COVID-19 Collapse,1780.45
COVID-19 Collapse,2074.42
COVID-19 Collapse,1492.48
Recovery & Surge,4564.99
Recovery & Surge,4780.48
Recovery & Surge,4772.12
Recovery & Surge,4301.67
Recovery & Surge,5050.48
Recovery & Surge,5499.35
Recovery & Surge,4307.67
Recovery & Surge,4104.32
Recovery & Surge,3931.18
Ukraine War Shock,5638.31
Ukraine War Shock,5462.87
Ukraine War Shock,5463.35
Ukraine War Shock,4924.32
Ukraine War Shock,4852.26
Ukraine War Shock,5602.69
Ukraine War Shock,5268.76
Ukraine War Shock,5352.43
Ukraine War Shock,5307.56
Ukraine War Shock,5485.76
Stabilisation,4202.07
Stabilisation,3611.86
Stabilisation,4147.41
Stabilisation,3805.25
Stabilisation,4027.95
Stabilisation,3736.22
Stabilisation,3991.21
Stabilisation,3824.52
Stabilisation,3914.42
Gaza-Israel Conflict,3525.94
Gaza-Israel Conflict,3743.99
Gaza-Israel Conflict,3939.57
Gaza-Israel Conflict,3936.39
Gaza-Israel Conflict,3663.38
Gaza-Israel Conflict,3617.65
Gaza-Israel Conflict,4019.67
Gaza-Israel Conflict,3641.14
Gaza-Israel Conflict,3638.65
Gaza-Israel Conflict,3747.23
Gaza-Israel Conflict,3961.67
Gaza-Israel Conflict,3875.22
Gaza-Israel Conflict,4276.03
Gaza-Israel Conflict,3924.7
Pre-Iran Escalation,4018.35
Pre-Iran Escalation,4170.09
Pre-Iran Escalation,4454.64
Pre-Iran Escalation,4391.49
Pre-Iran Escalation,3850.63
Pre-Iran Escalation,4954.19
Pre-Iran Escalation,4355.24
Pre-Iran Escalation,4743.06
Pre-Iran Escalation,4454.83
Pre-Iran Escalation,4318.13
Pre-Iran Escalation,4035.23
Pre-Iran Escalation,4278.09
US-Iran War Conflict,10165.41
US-Iran War Conflict,7942.35
US-Iran War Conflict,9151.15
US-Iran War Conflict,12126.26
Pre-Pandemic Baseline,1571.43
Pre-Pandemic Baseline,1450.63
Pre-Pandemic Baseline,1486.53
Pre-Pandemic Baseline,1342.95
Pre-Pandemic Baseline,1414.69
Pre-Pandemic Baseline,1521.06
Pre-Pandemic Baseline,1471.93
Pre-Pandemic Baseline,1557.46
Pre-Pandemic Baseline,1409.41
Pre-Pandemic Baseline,1305.46
Pre-Pandemic Baseline,1436.73
Pre-Pandemic Baseline,1634.52
Pre-Pandemic Baseline,1516.77
Pre-Pandemic Baseline,1403.72
COVID-19 Collapse,449.95
COVID-19 Collapse,588.85
COVID-19 Collapse,359.7
COVID-19 Collapse,593.64
COVID-19 Collapse,537.85
COVID-19 Collapse,461.29
COVID-19 Collapse,529.89
COVID-19 Collapse,486.64
COVID-19 Collapse,578.64
COVID-19 Collapse,490.87
COVID-19 Collapse,616.1
COVID-19 Collapse,678.47
COVID-19 Collapse,496.06
COVID-19 Collapse,635.37
COVID-19 Collapse,802.34
Recovery & Surge,1649.91
Recovery & Surge,2032.24
Recovery & Surge,1910.37
Recovery & Surge,1660.03
Recovery & Surge,1827.77
Recovery & Surge,2267.38
Recovery & Surge,1867.91
Recovery & Surge,1931.53
Recovery & Surge,1706.74
Ukraine War Shock,2161.33
Ukraine War Shock,2425.34
Ukraine War Shock,2371.79
Ukraine War Shock,2319.82
Ukraine War Shock,2093.25
Ukraine War Shock,2191.95
Ukraine War Shock,2252.08
Ukraine War Shock,2316.39
Ukraine War Shock,2007.79
Ukraine War Shock,2069.55
Stabilisation,1614.93
Stabilisation,1701.76
Stabilisation,1565.8
Stabilisation,1881.8
Stabilisation,1707.68
Stabilisation,1626.56
Stabilisation,1612.86
Stabilisation,1682.43
Stabilisation,1674.54
Gaza-Israel Conflict,1573.27
Gaza-Israel Conflict,1398.59
Gaza-Israel Conflict,1459.61
Gaza-Israel Conflict,1519.49
Gaza-Israel Conflict,1700.54
Gaza-Israel Conflict,1636.97
Gaza-Israel Conflict,1703.26
Gaza-Israel Conflict,1681.6
Gaza-Israel Conflict,1693.51
Gaza-Israel Conflict,1661.8
Gaza-Israel Conflict,1572.73
Gaza-Israel Conflict,1478.11
Gaza-Israel Conflict,1796.41
Gaza-Israel Conflict,1745.17
Pre-Iran Escalation,1532.08
Pre-Iran Escalation,1643.85
Pre-Iran Escalation,1696.86
Pre-Iran Escalation,1900.09
Pre-Iran Escalation,1748.97
Pre-Iran Escalation,2007.98
Pre-Iran Escalation,1712.47
Pre-Iran Escalation,1626.5
Pre-Iran Escalation,1728.09
Pre-Iran Escalation,1859.47
Pre-Iran Escalation,1547.83
Pre-Iran Escalation,1963.42
US-Iran War Conflict,3998.23
US-Iran War Conflict,3131.19
US-Iran War Conflict,4322.88
US-Iran War Conflict,5039.48
Pre-Pandemic Baseline,453.55
Pre-Pandemic Baseline,504.81
Pre-Pandemic Baseline,480.92
Pre-Pandemic Baseline,486.39
Pre-Pandemic Baseline,450.82
Pre-Pandemic Baseline,494.53
Pre-Pandemic Baseline,470.25
Pre-Pandemic Baseline,414.98
Pre-Pandemic Baseline,500.25
Pre-Pandemic Baseline,475.77
Pre-Pandemic Baseline,443.3
Pre-Pandemic Baseline,495.33
Pre-Pandemic Baseline,488.35
Pre-Pandemic Baseline,449.69
COVID-19 Collapse,181.63
COVID-19 Collapse,143.32
COVID-19 Collapse,166.97
COVID-19 Collapse,220.35
COVID-19 Collapse,153.18
COVID-19 Collapse,151.39
COVID-19 Collapse,142.82
COVID-19 Collapse,188.76
COVID-19 Collapse,146.6
COVID-19 Collapse,152.09
COVID-19 Collapse,140.31
COVID-19 Collapse,184.43
COVID-19 Collapse,241.3
COVID-19 Collapse,231.0
COVID-19 Collapse,295.16
Recovery & Surge,604.7
Recovery & Surge,537.48
Recovery & Surge,621.08
Recovery & Surge,567.68
Recovery & Surge,653.3
Recovery & Surge,586.65
Recovery & Surge,557.72
Recovery & Surge,537.68
Recovery & Surge,554.84
Ukraine War Shock,729.88
Ukraine War Shock,801.32
Ukraine War Shock,754.88
Ukraine War Shock,792.15
Ukraine War Shock,570.38
Ukraine War Shock,636.21
Ukraine War Shock,656.57
Ukraine War Shock,585.01
Ukraine War Shock,614.71
Ukraine War Shock,693.13
Stabilisation,483.01
Stabilisation,473.13
Stabilisation,536.58
Stabilisation,516.05
Stabilisation,580.43
Stabilisation,562.16
Stabilisation,538.64
Stabilisation,554.91
Stabilisation,480.79
Gaza-Israel Conflict,526.19
Gaza-Israel Conflict,473.65
Gaza-Israel Conflict,509.89
Gaza-Israel Conflict,505.11
Gaza-Israel Conflict,474.93
Gaza-Israel Conflict,529.62
Gaza-Israel Conflict,528.79
Gaza-Israel Conflict,521.93
Gaza-Israel Conflict,500.81
Gaza-Israel Conflict,433.71
Gaza-Israel Conflict,476.77
Gaza-Israel Conflict,469.69
Gaza-Israel Conflict,607.22
Gaza-Israel Conflict,510.27
Pre-Iran Escalation,521.82
Pre-Iran Escalation,552.59
Pre-Iran Escalation,506.44
Pre-Iran Escalation,498.15
Pre-Iran Escalation,498.56
Pre-Iran Escalation,500.56
Pre-Iran Escalation,492.71
Pre-Iran Escalation,581.95
Pre-Iran Escalation,470.0
Pre-Iran Escalation,570.39
Pre-Iran Escalation,597.45
Pre-Iran Escalation,512.58
US-Iran War Conflict,992.81
US-Iran War Conflict,1198.47
US-Iran War Conflict,1052.29
US-Iran War Conflict,1653.68
Pre-Pandemic Baseline,63.38
Pre-Pandemic Baseline,75.05
Pre-Pandemic Baseline,61.78
Pre-Pandemic Baseline,62.89
Pre-Pandemic Baseline,67.13
Pre-Pandemic Baseline,66.81
Pre-Pandemic Baseline,63.14
Pre-Pandemic Baseline,61.2
Pre-Pandemic Baseline,62.87
Pre-Pandemic Baseline,67.1
Pre-Pandemic Baseline,66.3
Pre-Pandemic Baseline,59.61
Pre-Pandemic Baseline,70.64
Pre-Pandemic Baseline,64.22
COVID-19 Collapse,14.35
COVID-19 Collapse,20.6
COVID-19 Collapse,22.71
COVID-19 Collapse,18.78
COVID-19 Collapse,27.84
COVID-19 Collapse,18.26
COVID-19 Collapse,31.9
COVID-19 Collapse,20.77
COVID-19 Collapse,27.62
COVID-19 Collapse,26.42
COVID-19 Collapse,20.35
COVID-19 Collapse,20.7
COVID-19 Collapse,22.07
COVID-19 Collapse,22.78
COVID-19 Collapse,24.32
Recovery & Surge,75.28
Recovery & Surge,80.54
Recovery & Surge,73.24
Recovery & Surge,82.51
Recovery & Surge,85.01
Recovery & Surge,92.35
Recovery & Surge,84.5
Recovery & Surge,83.63
Recovery & Surge,75.25
Ukraine War Shock,116.58
Ukraine War Shock,106.84
Ukraine War Shock,95.3
Ukraine War Shock,110.12
Ukraine War Shock,84.05
Ukraine War Shock,106.47
Ukraine War Shock,85.31
Ukraine War Shock,94.5
Ukraine War Shock,93.3
Ukraine War Shock,93.99
Stabilisation,74.8
Stabilisation,65.35
Stabilisation,66.55
Stabilisation,70.46
Stabilisation,83.43
Stabilisation,70.01
Stabilisation,79.51
Stabilisation,75.37
Stabilisation,71.45
Gaza-Israel Conflict,71.9
Gaza-Israel Conflict,65.2
Gaza-Israel Conflict,66.76
Gaza-Israel Conflict,71.04
Gaza-Israel Conflict,68.05
Gaza-Israel Conflict,75.59
Gaza-Israel Conflict,69.98
Gaza-Israel Conflict,61.4
Gaza-Israel Conflict,72.01
Gaza-Israel Conflict,71.58
Gaza-Israel Conflict,75.48
Gaza-Israel Conflict,65.33
Gaza-Israel Conflict,65.54
Gaza-Israel Conflict,79.19
Pre-Iran Escalation,62.17
Pre-Iran Escalation,65.88
Pre-Iran Escalation,73.2
Pre-Iran Escalation,84.45
Pre-Iran Escalation,75.92
Pre-Iran Escalation,78.51
Pre-Iran Escalation,65.67
Pre-Iran Escalation,74.84
Pre-Iran Escalation,71.66
Pre-Iran Escalation,65.72
Pre-Iran Escalation,78.22
Pre-Iran Escalation,74.53
US-Iran War Conflict,162.43
US-Iran War Conflict,121.65
US-Iran War Conflict,183.96
US-Iran War Conflict,202.61
Pre-Pandemic Baseline,149.8
Pre-Pandemic Baseline,164.43
Pre-Pandemic Baseline,160.09
Pre-Pandemic Baseline,161.75
Pre-Pandemic Baseline,168.99
Pre-Pandemic Baseline,163.32
Pre-Pandemic Baseline,163.63
Pre-Pandemic Baseline,171.05
Pre-Pandemic Baseline,176.42
Pre-Pandemic Baseline,146.83
Pre-Pandemic Baseline,171.25
Pre-Pandemic Baseline,171.77
Pre-Pandemic Baseline,171.7
Pre-Pandemic Baseline,140.43
COVID-19 Collapse,62.92
COVID-19 Collapse,48.97
COVID-19 Collapse,69.51
COVID-19 Collapse,65.78
COVID-19 Collapse,78.87
COVID-19 Collapse,45.33
COVID-19 Collapse,63.61
COVID-19 Collapse,61.7
COVID-19 Collapse,57.89
COVID-19 Collapse,64.39
COVID-19 Collapse,69.07
COVID-19 Collapse,82.63
COVID-19 Collapse,50.5
COVID-19 Collapse,64.42
COVID-19 Collapse,67.52
Recovery & Surge,217.47
Recovery & Surge,186.86
Recovery & Surge,211.23
Recovery & Surge,191.49
Recovery & Surge,193.18
Recovery & Surge,201.73
Recovery & Surge,228.61
Recovery & Surge,205.98
Recovery & Surge,175.16
Ukraine War Shock,292.18
Ukraine War Shock,255.31
Ukraine War Shock,250.37
Ukraine War Shock,260.71
Ukraine War Shock,236.84
Ukraine War Shock,264.32
Ukraine War Shock,243.89
Ukraine War Shock,240.97
Ukraine War Shock,251.26
Ukraine War Shock,258.85
Stabilisation,179.44
Stabilisation,166.48
Stabilisation,200.61
Stabilisation,195.01
Stabilisation,180.83
Stabilisation,198.91
Stabilisation,173.4
Stabilisation,198.58
Stabilisation,182.02
Gaza-Israel Conflict,168.9
Gaza-Israel Conflict,186.76
Gaza-Israel Conflict,191.59
Gaza-Israel Conflict,165.55
Gaza-Israel Conflict,197.59
Gaza-Israel Conflict,200.36
Gaza-Israel Conflict,176.38
Gaza-Israel Conflict,185.44
Gaza-Israel Conflict,184.84
Gaza-Israel Conflict,202.67
Gaza-Israel Conflict,203.66
Gaza-Israel Conflict,182.07
Gaza-Israel Conflict,178.21
Gaza-Israel Conflict,209.42
Pre-Iran Escalation,177.9
Pre-Iran Escalation,187.58
Pre-Iran Escalation,189.6
